unit,citizen,sex,age,decision,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,BE	4675 	7055 	7700 	9985 	12160 	11060 	7485 	7260 	5030 	4755 	5675 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,BG	20 	40 	15 	5 	0 	5 	5 	5 	10 	10 	15 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,CH	5305 	4775 	3860 	3245 	3545 	3185 	2295 	1905 	1840 	1795 	2965 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,CY	2810 	2580 	2870 	3110 	1500 	875 	275 	285 	130 	300 	465 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,CZ	1430 	390 	380 	365 	415 	395 	530 	395 	395 	395 	395 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,DE	8265 	4430 	5315 	21200 	24420 	30710 	37340 	86540 	112400 	94340 	82855 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,DK	315 	310 	790 	1815 	1085 	1110 	1500 	1050 	1150 	1675 	1625 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,EE	0 	0 	5 	10 	5 	0 	5 	10 	40 	40 	30 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,EL	980 	2065 	5 	215 	1115 	2990 	5785 	5810 	6655 	7985 	6605 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,ES	1110 	1680 	1530 	1100 	1100 	1085 	905 	570 	495 	590 	905 	725 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,EU27_2020	58755 	62785 	63110 	93440 	98605 	101240 	101585 	145165 	181760 	180855 	187835 	38535 d
PER,EXT_EU27_2020,T,TOTAL,REJECTED,EU28	67685 	73210 	77455 	103855 	106885 	109970 	109835 	152900 	188355 	186240 	190950 	43190 d
PER,EXT_EU27_2020,T,TOTAL,REJECTED,FI	10 	10 	45 	65 	50 	55 	45 	55 	395 	435 	645 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,FR	18025 	14180 	17800 	28425 	30570 	32100 	31260 	29190 	34870 	39735 	37700 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,HR	: 	: 	: 	: 	100 	95 	110 	85 	105 	75 	65 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,HU	55 	145 	165 	275 	290 	625 	800 	435 	765 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,IE	2140 	3140 	2640 	1250 	645 	525 	115 	305 	385 	275 	380 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,IS	10 	30 	10 	0 	15 	60 	25 	35 	135 	450 	285 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,IT	30 	1475 	1260 	1175 	445 	20 	10 	5 	5000 	9255 	25755 	22870 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,LI	: 	75 	60 	40 	50 	35 	0 	15 	30 	5 	50 	10 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,LT	35 	50 	65 	30 	215 	30 	10 	10 	5 	30 	20 	: 
